1  ACTIVO        
1.02.01.04  CUENTAS A COBRAR A SOCIOS O ENTIDADES VINCULADAS        
1.02.01.05  DEUDORES EN GESTIÓN DE COBRO – MOROSOS O SIMILARES        
1.02.01.06  ANTICIPOS A PROVEEDORES        
1.02.01.06.01  ANTICIPOS A PROVEEDORES LOCALES        
1.02.01.06.02  ANTICIPOS A PROVEEDORES DEL EXTERIOR        
1.02.01.07  CRÉDITOS POR IMPUESTOS DIFERIDOS         
1.02.01.99   PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO            
1.02.02  INVENTARIOS A REALIZAR A LARGO PLAZO        
1.02.02.01  ACTIVOS BIOLÓGICOS EN PRODUCCIÓN        
1.02.02.02  ACTIVOS BIOLÓGICOS EN DESARROLLO        
1.02.02.99   PREVISIÓN POR DEVALUACIÓN DE ACTIVOS BIOLÓGICOS            
1.02.03  INVERSIONES A LARGO PLAZO        
1.02.03.01  INVERSIONES FINANCIERAS        
1.02.03.02  INVERSIONES EN ENTIDADES VINCULADAS        
1.02.03.03  INVERSIONES INMOBILIARIAS        
1.02.03.04  OTRAS INVERSIONES        
1.02.03.05  INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES        
1.02.03.99   PREVISIÓN POR DEVALUACIÓN DE INVERSIONES            
1.02.04  PROPIEDAD, PLANTA Y EQUIPO         
1.02.04.01  INMUEBLES        
1.02.04.02  RODADOS /TRANSPORTES        
1.02.04.03  MUEBLES, ÚTILES Y ENSERES        
1.02.04.04  MAQUINARIAS         
1.02.04.05  EQUIPOS        
1.02.04.06  HERRAMIENTAS        
1.02.04.07  BIENES FUERA DE OPERACIÓN        
1.02.04.08  MEJORAS EN PREDIO AJENO         
1.02.04.97  BIENES INCORPORADOS AL AMPARO DE LA LEY N° 60/90        
1.02.04.98  BIENES EN ARRENDAMIENTO FINANCIERO        
1.02.04.99   DEPRECIACIÓN ACUMULADA              
1.02.05  OTROS ACTIVOS A LARGO PLAZO        
1.02.05.01  DERECHOS FIDUCIARIOS        
1.02.06  CARGOS DIFERIDOS         
1.02.06.01  GASTOS DE CONSTITUCIÓN         
1.02.06.02  GASTOS DE ORGANIZACIÓN         
1.02.06.03  GASTOS DE DESARROLLO         
1.02.06.04  GASTOS DE PROYECTOS DE INVERSIÓN        
1.02.06.99   AMORTIZACIÓN ACUMULADA                
1.02.07  ACTIVOS INTANGIBLES         
1.02.07.01  LICENCIAS, MARCAS Y PATENTES        
1.02.07.02  FRANQUICIAS        
1.02.07.99   AMORTIZACIÓN ACUMULADA              
2  PASIVO         
2.01  PASIVO CORRIENTE        
2.01.01  ACREEDORES COMERCIALES        
2.01.01.01  PROVEEDORES LOCALES        
2.01.01.02  PROVEEDORES DEL EXTERIOR        
2.01.01.03  INTERESES A PAGAR A PROVEEDORES        
2.01.01.04  OTROS ACREEDORES        
2.01.02  DEUDAS FINANCIERAS        
2.01.02.01  PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS        
2.01.02.02  PRÉSTAMOS DEL DUEÑO, SOCIOS O  ENTIDADES VINCULADAS        
2.01.02.03  ARRENDAMIENTOS FINANCIEROS        
2.01.02.04  OTROS PRÉSTAMOS A PAGAR        
2.01.02.05  INTERESES A PAGAR        
2.01.03  OTRAS CUENTAS POR PAGAR        
2.01.03.01  DEUDAS FISCALES CORRIENTES        
2.01.03.01.01  IMPUESTO A LA RENTA A PAGAR        
2.01.03.01.02  IVA A PAGAR        
2.01.03.01.03  RETENCIONES DE IMPUESTOS A INGRESAR        
2.01.03.02  OBLIGACIONES LABORALES Y CARGAS SOCIALES        
2.01.03.03  DIVIDENDOS A PAGAR        
2.01.03.04  PASIVOS FIDUCIARIOS        
2.01.04  PROVISIONES         
2.01.04.01  OBLIGACIONES POR GARANTÍAS OTORGADAS        
2.01.04.02  OBLIGACIONES LEGALES POR LITIGIOS        
2.01.04.03  PROVISIÓN PARA BENEFICIOS A EMPLEADOS        
2.01.05  INGRESOS DIFERIDOS        
2.01.05.01  ANTICIPOS DE CLIENTES        
2.01.05.02  SUBVENCIONES        
2.01.05.03  DERECHOS DE FIDELIZACIÓN DE CLIENTES        
2.01.05.04  ALQUILERES COBRADOS POR ADELANTADO        
2.02  PASIVO  NO CORRIENTE        
2.02.01  ACREEDORES COMERCIALES A LARGO PLAZO        
2.02.01.01  PROVEEDORES LOCALES        
2.02.01.02  PROVEEDORES DEL EXTERIOR        
2.02.01.03  INTERESES A  PAGAR A PROVEEDORES         
2.02.01.04  OTROS ACREEDORES         
2.02.02  DEUDAS FINANCIERAS A LARGO PLAZO        
2.02.02.01  PRÉSTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS        
2.02.02.02  PRÉSTAMOS DEL DUEÑO, SOCIOS O  ENTIDADES VINCULADAS        
2.02.02.03  ARRENDAMIENTOS FINANCIEROS        
2.02.02.04  OTROS PRÉSTAMOS         
2.02.02.05  INTERESES A PAGAR        
2.02.03  OTRAS CUENTAS POR PAGAR        
2.02.03.01  PASIVOS POR IMPUESTOS DIFERIDOS         
2.02.03.02  PASIVOS FIDUCIARIOS        
2.02.04  PROVISIONES PARA OBLIGACIONES A LARGO PLAZO        
2.02.04.01  OBLIGACIONES POR GARANTÍAS OTORGADAS        
2.02.04.02  OBLIGACIONES LEGALES POR LITIGIOS PENDIENTES        
2.02.04.03  PROVISIONES PARA BENEFICIOS A EMPLEADOS        
2.02.05  INGRESOS DIFERIDOS A LARGO PLAZO        
2.02.05.01  ANTICIPOS DE CLIENTES        
2.02.05.02  SUBVENCIONES        
2.02.05.03  DERECHO DE FIDELIZACIÓN DE CLIENTES        
2.02.05.04  ALQUILERES COBRADOS POR ADELANTADO        
3  PATRIMONIO NETO        
3.01  CAPITAL        
3.01.01  CAPITAL INTEGRADO        
3.01.01.01  CAPITAL SUSCRIPTO        
3.01.01.02   CAPITAL A INTEGRAR        
3.02  RESERVAS        
3.02.01  RESERVA LEGAL        
3.02.02  RESERVA DE REVALÚO        
3.02.02.01  RESERVA DE REVALÚO FISCAL        
3.02.02.02  RESERVA DE REVALÚO TÉCNICO        
3.02.03  OTRAS RESERVAS        
3.03  RESULTADOS        
3.03.01  RESULTADOS ACUMULADOS        
3.03.02  RESULTADO DEL EJERCICIO        
4  INGRESOS OPERATIVOS          
4.01  VENTAS DE MERCADERÍAS          
4.01.01  VENTAS DE MERCADERÍAS GRAVADAS POR EL IVA          
4.01.02  VENTAS DE MERCADERÍAS EXENTAS DEL IVA          
4.02  VENTAS DE PRODUCTOS AGRÍCOLAS          
4.02.01  VENTAS DE SOJA Y SUS DERIVADOS           
4.02.02  VENTAS DE MAÍZ          
4.02.03  VENTAS DE TRIGO          
4.02.04  OTROS PRODUCTOS AGRÍCOLAS          
4.03  VENTAS DE GANADO          
4.04  VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS          
4.05  VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL          
4.06  EXPORTACIONES DE PRODUCTOS AGRÍCOLAS EXPORTADOS          
4.06.01  EXPORTACIONES DE SOJA Y SUS DERIVADOS          
4.06.01.01  EXPORTACIONES A EMPRESAS VINCULADAS          
4.06.01.02  EXPORTACIONES A TERCEROS NO VINCULADOS          
4.06.02  EXPORTACIONES DE OTROS PRODUCTOS AGRÍCOLAS          
4.07  EXPORTACIONES DE BIENES INDUSTRIALIZADOS          
4.07.01  EXPORTACIONES DE PRODUCTOS FARMACÉUTICOS          
4.07.02  EXPORTACIONES DE MAQUINARIAS Y EQUIPOS          
4.07.03  EXPORTACIONES DE OTROS PRODUCTOS INDUSTRIALIZADOS          
4.08  EXPORTACIONES DE OTROS PRODUCTOS          
4.09  VENTAS DE SERVICIOS GRAVADOS          
4.10  VENTAS DE BIENES - REGÍMENES ESPECIALES          
4.10.01  VENTAS DE MERCADERIAS - REGIMEN DE TURISMO          
4.10.01.01  VENTAS A EXTRANJEROS          
4.10.01.02  VENTAS A DISTRIBUIDORES LOCALES          
4.10.01.03  VENTAS A CLIENTES LOCALES          
4.10.02  VENTAS DE MERCADERÍAS - ZONA FRANCA          
4.10.03  VENTAS POR RÉGIMEN DE MAQUILA           
4.10.04  VENTAS BAJO OTROS REGÍMENES ESPECIALES          
4.11  OTRAS VENTAS EXENTAS DEL IVA           
4.98   DESCUENTOS CONCEDIDOS          
4.99   DEVOLUCIONES          
5  COSTOS OPERATIVOS           
5.01  COSTO DE MERCADERÍAS           
5.01.01  COSTO DE MERCADERÍAS GRAVADAS POR EL IVA          
5.01.02  COSTO DE MERCADERÍAS EXENTAS DEL IVA           
5.02  COSTO DE PRODUCTOS AGRÍCOLAS          
5.02.01  COSTO DE VENTAS DE SOJA Y SUS DERIVADOS          
5.02.02  COSTO DE VENTAS DE MAÍZ          
5.02.03  COSTO DE VENTAS DE TRIGO          
5.02.04  COSTO DE VENTAS DE OTROS PRODUCTOS AGRÍCOLAS           
5.03  COSTO DE VENTAS DE GANADO           
5.04  COSTO DE VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS          
5.05  COSTO DE VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL          
5.06  COSTO DE PRODUCTOS AGRÍCOLAS EXPORTADOS           
5.06.01  COSTO  DE SOJA Y SUS DERIVADOS EXPORTADOS          
5.06.01.01  COSTO DE EXPORTACIONES A EMPRESAS VINCULADAS          
5.06.01.02  COSTO DE EXPORTACIONES A TERCEROS NO VINCULADOS          
5.06.02  COSTO DE OTROS PRODUCTOS AGRÍCOLAS EXPORTADOS          
5.07  COSTO DE BIENES INDUSTRIALIZADOS EXPORTADOS          
5.07.01  COSTO DE PRODUCTOS FARMACEÚTICOS EXPORTADOS          
5.07.02  COSTO DE MAQUINARIAS Y EQUIPOS EXPORTADOS          
5.07.03  COSTO DE OTROS PRODUCTOS INDUSTRIALIZADOS EXPORTADOS          
5.08  COSTO DE OTROS PRODUCTOS EXPORTADOS          
5.09  COSTO DE SERVICIOS GRAVADOS          
5.10  COSTO DE VENTAS DE BIENES - REGÍMENES ESPECIALES          
5.10.01  COSTO DE VENTAS DE MERCADERÍAS - RÉGIMEN DE TURISMO          
5.10.01.01  COSTO DE VENTAS A EXTRANJEROS          
5.10.01.02  COSTO DE VENTAS A DISTRIBUIDORES LOCALES          
5.10.01.03  COSTO DE VENTAS A CLIENTES LOCALES          
5.10.02  COSTO DE VENTAS DE MERCADERÍAS - ZONA FRANCA          
5.10.03  COSTO DE VENTAS POR RÉGIMEN DE MAQUILA          
5.10.04  COSTO DE VENTAS BAJO OTROS REGÍMENES ESPECIALES          
5.11  COSTO DE VENTAS EXENTAS DEL IVA          
6  GANANCIAS (O PÉRDIDAS) BRUTAS EN VENTAS                               
7  INGRESOS POR ACTIVOS BIOLÓGICOS          
7.01  INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE ACTIVOS BIOLÓGICOS          
7.01.01  INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE BIENES DEL SECTOR AGRÍCOLA          
7.01.02  INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE GANADO          
7.01.03  INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE BIENES DE LA ACTIVIDAD FORESTAL          
7.02   COSTO DE PRODUCCIÓN Y/O TENENCIA DE ACTIVOS BIOLÓGICOS          
7.02.01   COSTO DE PRODUCCIÓN Y/O TENENCIA DE BIENES DEL SECTOR AGRÍCOLA          
7.02.02   COSTO DE PRODUCCIÓN Y/O TENENCIA DE GANADO          
7.02.03   COSTO DE PRODUCCIÓN Y/O TENENCIA DE BIENES DE LA ACTIVIDAD FORESTAL          
7.02.04   MERMAS Y MORTANDAD                  
8  OTROS INGRESOS          
8.01  INTERESES GANADOS          
8.02  COMISIONES COBRADAS          
8.03  DESCUENTOS OBTENIDOS          
8.04  SUBVENCIONES           
8.05  RESULTADO POR DIFERENCIA DE CAMBIO          
9  GANANCIAS (O PÉRDIDAS) BRUTAS TOTALES                
10  GASTOS DE VENTAS O COMERCIALIZACIÓN          
10.01  SUELDOS Y OTRAS REMUNERACIONES AL PERSONAL          
10.01.01  SUELDOS Y JORNALES           
10.01.02  APORTE PATRONAL           
10.01.03  OTROS BENEFICIOS AL PERSONAL          
10.02  COMISIONES PAGADAS SOBRE VENTAS          
10.03  VIÁTICOS A VENDEDORES          
10.04  PUBLICIDAD Y PROPAGANDA           
10.05  FLETES PAGADOS          
10.99  OTROS GASTOS DE VENTAS                      
11  GASTOS DE ADMINISTRACIÓN          
11.01  SUELDOS Y OTRAS REMUNERACIONES AL PERSONAL          
11.01.01  SUELDOS Y JORNALES           
11.01.02  APORTE PATRONAL           
11.01.03  OTROS BENEFICIOS AL PERSONAL          
11.02  REMUNERACIÓN PERSONAL SUPERIOR           
11.03  GASTOS DE REPRESENTACIÓN          
11.04  HONORARIOS PROFESIONALES           
11.05  ALQUILERES          
11.06  AGUA, LUZ, TELÉFONO E INTERNET           
11.07  MOVILIDAD          
11.08  COMBUSTIBLES Y LUBRICANTES          
11.09  REPARACIONES Y MANTENIMIENTOS          
11.10  SEGUROS PAGADOS          
11.11  ÚTILES DE OFICINA          
11.12  GASTOS PAGADOS EN EL EXTERIOR           
11.13  JUICIOS Y GASTOS JUDICIALES           
11.14  GASTOS DE COBRANZAS           
11.15  DONACIONES Y CONTRIBUCIONES           
11.16  COMISIONES Y GASTOS BANCARIOS OPERACIONALES          
11.17  IMPUESTOS, PATENTES, TASAS Y OTRAS CONTRIBUCIONES          
11.18  MULTAS Y SANCIONES          
12  GANANCIAS (O PÉRDIDAS) ANTES DE GASTOS FINANCIEROS                      
13  GASTOS BANCARIOS Y FINANCIEROS           
13.01  INTERESES PAGADOS A ENTIDADES BANCARIAS Y FINANCIERAS          
13.02  OTROS INTERESES PAGADOS          
13.03  COMISIONES Y GASTOS BANCARIOS SOBRE OPERACIONES CREDITICIAS          
13.04  RESULTADO POR DIFERENCIA DE CAMBIO           
14  PREVISIONES           
14.01  DESAFECTACIÓN DE PREVISIONES           
14.02   CONSTITUCIÓN DE PREVISIONES                      
15  DEPRECIACIONES Y AMORTIZACIONES DE ACTIVOS          
15.01  DEPRECIACIONES DEL EJERCICIO           
15.02  AMORTIZACIONES DEL EJERCICIO          
15.03  (nuevas cuentas a incluir)                    
16  GANANCIAS (O PÉRDIDAS) OPERATIVAS                    
17  OTROS RESULTADOS NO OPERATIVOS          
17.01  UTILIDAD/PÉRDIDA EN VENTA DE ACTIVOS FIJOS          
17.02  UTILIDAD/PÉRDIDA EN VENTA DE INVERSIONES          
17.03  CUENTAS INCOBRABLES RECUPERADAS          
18  GANANCIAS (O PÉRDIDAS ) ANTES DEL IMPUESTO A LA RENTA                    
19  IMPUESTO A LA RENTA                    
20  GANANCIAS/PÉRDIDAS NETAS DEL EJERCICIO 
